Franchise,Creation Date,Revenue (Billion USD),Country,Number of Platforms
Anpanman,1973,38.4,Japan,13
Hello Kitty,1974,33.5,Japan,7
Pac-Man,1980,15.43,Japan,8
Space Invaders,1978,13.9,Japan,46
Dragon Ball,1984,10.7,Japan,50
Street Fighter,1987,10.7,Japan,103
Rilakkuma,2003,10.0,Japan,
Monster Strike,2013,10.0,Japan,34
Demon Slayer: Kimetsu no Yaiba,2016,10.0,Japan,47
Mario,1981,8.75,Japan,93
Super Sentai / Power Rangers,1975,8.67,Japan,61
Ultra Series (Ultraman),1966,7.4,Japan,49
Sonic the Hedgehog,1991,7.37,Japan,108
Fate (Fate/stay night),2004,7.0,Japan,29
Yu-Gi-Oh!,1996,5.42,Japan,34
Gundam,1979,5.0,Japan,17
Beyblade,1999,4.6,Japan,1
Gran Turismo,1997,4.1,Japan,52
Hamtaro,1997,3.02,Japan,3
Astro Boy,1952,3.0,Japan,32
Godzilla (Gojira),1954,2.63,Japan,139
Sailor Moon,1991,2.5,Japan,16
Kumamon,2010,2.36,Japan,
Yo-kai Watch,2013,2.09,Japan,18
Resident Evil (Biohazard),1996,2.0,Japan,102
Neon Genesis Evangelion,1994,2.0,Japan,31
Star Wars,1977,46.7,US,60
Disney Princess,2000,45.4,US,247
Barbie,1987,36.3,US,73
Marvel Cinematic Universe (MCU),2008,35.2,US,224
Wizarding World (Harry Potter),1997,34.7,US,87
Call of Duty,2003,31.0,US,28
Batman,1939,29.9,US,117
Spider-Man,1962,26.8,US,107
Cars,2006,21.5,US,89
Candy Crush,2012,20.0,US,0
Looney Tunes,1930,17.46,US,80
Teenage Mutant Ninja Turtles,1984,17.4,US,114
SpongeBob SquarePants,1999,16.6,US,83
The Lion King,1994,15.9,US,63
Dora the Explorer,2000,15.8,US,67
Paw Patrol,2013,15.4,US,95
Toy Story,1995,14.8,US,40
Peanuts,1950,14.4,US,51
Avengers,1963,14.3,US,78
Frozen,2013,13.9,US,107
Warcraft,1994,12.4,US,51
Despicable Me (Minions),2010,12.3,US,108
Star Trek,1966,11.2,US,106
Jurassic Park,1990,10.1,US,106
Grand Theft Auto (GTA),1997,10.0,US,26
James Bond,1953,9.75,US,135
Angry Birds,2009,9.54,US,76
